worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w9,2025-12-19T15:01:11.201730Z,32.398,403,False,0x3116De7d4519B71BA014e7EF3e874D3a98B64A91,POLICE,779,TELEMATICS,3,READ,
w8,2025-12-19T15:01:11.201695Z,32.748,403,False,0x57e02f30Dd15545B3A9eC4841D0D58Ee1D829414,GARAGE,105,VIDEO,2,READ,
w2,2025-12-19T15:01:11.201303Z,65.378,200,True,0x5e3B546a11dc657CdFa106cd26E2211ee451c0d7,INSURER,129,VIDEO,2,READ,
w6,2025-12-19T15:01:11.201470Z,65.744,200,True,0xAF3C604AE7a9E247C368331a22270415269Ef10d,INSURER,591,FNOL,4,READ,
w3,2025-12-19T15:01:11.201356Z,66.058,200,True,0x0479AcE8E12E22b9751dF7542dd8f225c221EC34,ADJUSTER,501,FNOL,4,READ,
w1,2025-12-19T15:01:11.201184Z,66.371,200,True,0x78273aa663aa16C08590efF5582bb4C9DD30Bb95,INSURER,736,TELEMATICS,3,READ,
w7,2025-12-19T15:01:11.201646Z,66.041,200,True,0x4828419eA02B1D4399E039f8E5F346f37f19fA13,INSURER,57,VIDEO,2,READ,
w4,2025-12-19T15:01:11.201397Z,66.483,200,True,0x50Ed54bf40D96Fda59d7F83abE5551535d7938ac,COURT,818,TELEMATICS,3,READ,
w5,2025-12-19T15:01:11.201434Z,66.581,200,True,0x7fBAcb835330c3A23597A355A26Cf6E0ee69A0B5,COURT,91,VIDEO,2,READ,
w0,2025-12-19T15:01:11.199155Z,69.051,200,True,0x8216a92a44877D72a31FA6453e4583a6DCe25752,INSURER,38,VIDEO,2,READ,
w9,2025-12-19T15:01:11.234144Z,34.199,403,False,0xEcbE69567Cf42475FbE6Ea4523541e58C4d22957,GARAGE,987,OTHER,1,READ,
w8,2025-12-19T15:01:11.234452Z,80.180,200,True,0x89cb551204456FFCd8e595feE394120dD047b57A,INSURER,526,MEDICAL_REPORT,5,READ,
w2,2025-12-19T15:01:11.266697Z,48.250,403,False,0xDD3EceF8307a47a0307E4f44135C61Dd2C75c6d7,POLICE,959,OTHER,1,READ,
w6,2025-12-19T15:01:11.267223Z,47.880,403,False,0x8D21394c336D57f89564705Aa61307561b63E310,POLICE,800,TELEMATICS,3,READ,
w5,2025-12-19T15:01:11.268020Z,47.260,403,False,0xCF5E79F0E2BFC3eb5fe4aB0975E9F0eEc50b54E3,GARAGE,624,MEDICAL_REPORT,5,READ,
w9,2025-12-19T15:01:11.268351Z,47.047,403,False,0xD3b3bd4ce4B597519FCE080Ce05805A99cC8C772,GARAGE,213,VIDEO,2,READ,
w3,2025-12-19T15:01:11.267419Z,78.036,200,True,0x0479AcE8E12E22b9751dF7542dd8f225c221EC34,ADJUSTER,720,TELEMATICS,3,READ,
w1,2025-12-19T15:01:11.267560Z,78.213,200,True,0x4f464925226709cf94C01633A1f468E106AD6413,INSURER,166,VIDEO,2,READ,
w7,2025-12-19T15:01:11.267692Z,78.333,200,True,0xDA941366d7481DffDAd4458a22913423f40dA1eA,ADJUSTER,49,VIDEO,2,READ,
w4,2025-12-19T15:01:11.267884Z,78.284,200,True,0xaCB712DC0982F8B6c52EB4C5D2c205766cE3d00D,INSURER,801,TELEMATICS,3,READ,
w0,2025-12-19T15:01:11.268212Z,78.085,200,True,0x3d4Bd094c1894ed38F3EcF0799bE66f83a4199ca,ADJUSTER,540,FNOL,4,READ,
w8,2025-12-19T15:01:11.314643Z,65.675,200,True,0x415Ba7B0D983442D5407ABEF5Ebd8e9d2bB533B7,POLICE,58,VIDEO,2,READ,
w2,2025-12-19T15:01:11.314954Z,65.852,200,True,0x02BD9B3b464b98EB353C8f83Eb3b4cB0627A52Ed,COURT,636,FNOL,4,READ,
w6,2025-12-19T15:01:11.315108Z,66.126,200,True,0xFeC4882fEAf263ac0fD1b9B4271dD1852B413584,INSURER,921,OTHER,1,READ,
w5,2025-12-19T15:01:11.315285Z,66.152,200,True,0x89cb551204456FFCd8e595feE394120dD047b57A,INSURER,727,TELEMATICS,3,READ,
w9,2025-12-19T15:01:11.315403Z,66.230,200,True,0xD06Cc40e4D98aDc886d652F4253985B5c04282b9,REGULATOR,876,OTHER,1,READ,
w3,2025-12-19T15:01:11.345466Z,60.548,200,True,0x467316319C6B5f391c5a6B3b0190d4209202fC25,ADJUSTER,492,IMAGE,2,READ,
