worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w60,2025-12-19T15:01:25.402115Z,132.344,403,False,0xBCb233Ef85EC11C88E20Ea53Bb47f454d116FBe3,ADJUSTER,638,MEDICAL_REPORT,5,READ,
w62,2025-12-19T15:01:25.402174Z,132.676,403,False,0x01891323537Ca8c745Cd76182c9eB81519eaC821,GARAGE,837,TELEMATICS,3,READ,
w8,2025-12-19T15:01:25.400486Z,134.557,403,False,0x415Ba7B0D983442D5407ABEF5Ebd8e9d2bB533B7,POLICE,551,FNOL,4,READ,
w66,2025-12-19T15:01:25.402369Z,133.017,403,False,0x84FDd0E1F145C20f9451b1eB751c26e76B3232d4,POLICE,805,TELEMATICS,3,READ,
w13,2025-12-19T15:01:25.400639Z,134.905,403,False,0x2B5dEec5325fd9befC139A2071d830B25FAd52Ef,GARAGE,969,OTHER,1,READ,
w68,2025-12-19T15:01:25.402420Z,133.254,403,False,0x59760590b1fCF3C846635ae6432DE56ef26298B8,GARAGE,966,OTHER,1,READ,
w72,2025-12-19T15:01:25.402532Z,133.260,403,False,0xDd45386232533D2C209976e678A91A2263676ECB,GARAGE,812,TELEMATICS,3,READ,
w21,2025-12-19T15:01:25.400865Z,135.050,403,False,0x38C88185b74B534134345be38916483044075686,POLICE,987,OTHER,1,READ,
w22,2025-12-19T15:01:25.401022Z,135.004,403,False,0x01891323537Ca8c745Cd76182c9eB81519eaC821,GARAGE,859,OTHER,1,READ,
w81,2025-12-19T15:01:25.402776Z,133.355,403,False,0x26b179d013C696c433c0f316E594f7a7AcE77C79,GARAGE,568,FNOL,4,READ,
w27,2025-12-19T15:01:25.401175Z,135.064,403,False,0x28365792Da71bc8AcAD11a4393049d006EF2E972,GARAGE,869,OTHER,1,READ,
w88,2025-12-19T15:01:25.402960Z,133.396,403,False,0x01891323537Ca8c745Cd76182c9eB81519eaC821,GARAGE,193,VIDEO,2,READ,
w91,2025-12-19T15:01:25.403042Z,133.760,403,False,0xD261b62ccB398d8100234C5fD641c6D67B10C62B,GARAGE,927,OTHER,1,READ,
w35,2025-12-19T15:01:25.401404Z,135.575,403,False,0x26b179d013C696c433c0f316E594f7a7AcE77C79,GARAGE,216,VIDEO,2,READ,
w92,2025-12-19T15:01:25.403068Z,134.068,403,False,0x5173D7F8755FdF3d2f05C01D029A3Dc55EaC0476,POLICE,598,FNOL,4,READ,
w36,2025-12-19T15:01:25.401432Z,135.824,403,False,0xd132a79Ca7Be8caaC9A27467EB9B65F7cBD6F50E,ADJUSTER,640,MEDICAL_REPORT,5,READ,
w93,2025-12-19T15:01:25.403096Z,134.265,403,False,0xBC78986794f1658340222E011F7e1Cf375177F95,ADJUSTER,531,MEDICAL_REPORT,5,READ,
w40,2025-12-19T15:01:25.401539Z,135.924,403,False,0xcCC472e2d0eDA52066a80BCFb4577Dc9Fb7CD453,POLICE,961,OTHER,1,READ,
w42,2025-12-19T15:01:25.401594Z,135.971,403,False,0x7C8B230898f07628a4f24e2D0ffe62373593dCce,POLICE,951,OTHER,1,READ,
w46,2025-12-19T15:01:25.401704Z,135.960,403,False,0xD261b62ccB398d8100234C5fD641c6D67B10C62B,GARAGE,824,TELEMATICS,3,READ,
w49,2025-12-19T15:01:25.401787Z,135.975,403,False,0x2B5dEec5325fd9befC139A2071d830B25FAd52Ef,GARAGE,606,MEDICAL_REPORT,5,READ,
w50,2025-12-19T15:01:25.401825Z,136.067,403,False,0xa96C0E04f38F8dC8842789660AA8C570bfCCFF50,GARAGE,809,TELEMATICS,3,READ,
w52,2025-12-19T15:01:25.401882Z,136.190,403,False,0xCF5E79F0E2BFC3eb5fe4aB0975E9F0eEc50b54E3,GARAGE,228,VIDEO,2,READ,
w5,2025-12-19T15:01:25.400385Z,137.866,403,False,0x1F98dd762361D7256a816f8086AE6FfB657fa5bC,POLICE,878,OTHER,1,READ,
w6,2025-12-19T15:01:25.400421Z,232.659,200,True,0x07DA3024980d3B92Bcf6B8850A7C08F758B5F781,INSURER,198,VIDEO,2,READ,
w61,2025-12-19T15:01:25.402144Z,231.288,200,True,0x466ec685AE894BAc153c11350FC488cAAa2C062E,INSURER,317,IMAGE,2,READ,
w7,2025-12-19T15:01:25.400455Z,233.415,200,True,0x3d9c5458418bD082b010C0F93c3b8FBF9826E0Bf,INSURER,896,OTHER,1,READ,
w63,2025-12-19T15:01:25.402284Z,231.773,200,True,0xC23BB727D3Ae6bD9cd90AC52ee26359F19176de3,INSURER,501,FNOL,4,READ,
w9,2025-12-19T15:01:25.400517Z,233.707,200,True,0x67A9BC3Fb3B4a392C223A8C644B48346b9Ca5128,COURT,289,IMAGE,2,READ,
w64,2025-12-19T15:01:25.402314Z,232.034,200,True,0x81A893236EFCdC58F1f9421b59Ee21eb7e38f8FB,INSURER,291,IMAGE,2,READ,
w10,2025-12-19T15:01:25.400548Z,233.916,200,True,0xc0F601980c6FD898E06229024740eec17abbF5C2,INSURER,743,TELEMATICS,3,READ,
w65,2025-12-19T15:01:25.402342Z,232.253,200,True,0x476ad4Ce50BbD6624855e3d1e12E6cC23654359A,INSURER,61,VIDEO,2,READ,
w11,2025-12-19T15:01:25.400576Z,234.149,200,True,0x81daFDe6F70ee2Fb93671DC220cC29F8205ACB57,INSURER,35,VIDEO,2,READ,
w12,2025-12-19T15:01:25.400609Z,234.231,200,True,0x11F50254a88A6e26E6Bb5aAE8d74E52372B4270E,COURT,30,VIDEO,2,READ,
w67,2025-12-19T15:01:25.402395Z,232.552,200,True,0x3A995E7B23E0Fe0f9a5537f57AA80BACa529eFC4,INSURER,763,TELEMATICS,3,READ,
w14,2025-12-19T15:01:25.400669Z,234.387,200,True,0x82B01EfD510Bee8680730EEf777526b020e2398B,INSURER,907,OTHER,1,READ,
w69,2025-12-19T15:01:25.402448Z,232.708,200,True,0xD6e58dE85e171C0D6BB42Cf4a85fBa7C55ce5618,INSURER,764,TELEMATICS,3,READ,
w15,2025-12-19T15:01:25.400696Z,234.961,200,True,0xBeBf134906e0FCcd85b0D99a4626a7B8584e742c,ADJUSTER,463,IMAGE,2,READ,
w70,2025-12-19T15:01:25.402475Z,233.339,200,True,0x5cA86E3342DEA0C1a26C49f1a4fA40DeEeAFf8a8,INSURER,782,TELEMATICS,3,READ,
w16,2025-12-19T15:01:25.400724Z,235.219,200,True,0xCdb11D137710f0a5234b9D3c040668B6D48e59d4,COURT,925,OTHER,1,READ,
w71,2025-12-19T15:01:25.402504Z,233.554,200,True,0x73E42dF14ff21e7994A37802a292F71830CDA5aF,INSURER,373,IMAGE,2,READ,
w17,2025-12-19T15:01:25.400753Z,235.412,200,True,0xD6e58dE85e171C0D6BB42Cf4a85fBa7C55ce5618,INSURER,629,MEDICAL_REPORT,5,READ,
w18,2025-12-19T15:01:25.400780Z,235.490,200,True,0xE1C502975CC15E22bC10c8a6e352061ef61bBc2A,COURT,732,TELEMATICS,3,READ,
w73,2025-12-19T15:01:25.402557Z,233.815,200,True,0xdBf006c9b4fEA25fFA98161abc660B4643109625,ADJUSTER,221,VIDEO,2,READ,
w19,2025-12-19T15:01:25.400810Z,235.673,200,True,0xcCC472e2d0eDA52066a80BCFb4577Dc9Fb7CD453,POLICE,25,VIDEO,2,READ,
w74,2025-12-19T15:01:25.402584Z,234.048,200,True,0xE4A8571e1F142Bd99866AA9464c49517B2ac0E01,ADJUSTER,36,VIDEO,2,READ,
w20,2025-12-19T15:01:25.400839Z,235.909,200,True,0x1EBe67547Da63652edcAE7c36347A6d05ef27c1C,POLICE,419,IMAGE,2,READ,
w75,2025-12-19T15:01:25.402611Z,234.241,200,True,0x07DA3024980d3B92Bcf6B8850A7C08F758B5F781,INSURER,545,FNOL,4,READ,
w76,2025-12-19T15:01:25.402639Z,234.323,200,True,0x2ee7F051BB940423f554ea44742f7c4c8C20Ea59,INSURER,214,VIDEO,2,READ,
