worker,index,status,latency_ms,tx_hash,gas_used,policy_id,error
w0,0,200,61.082,0x12b070aaabc97b89ac37cf34814a1e7176015a8b750b61bf4f1aad786c244cd1,134001,716,
w0,1,200,43.769,0xa0a9f51af73254139a86649b9b919beb14b3251a5594325606040d2fdc2bbbea,134001,717,
w0,2,200,53.944,0x5bc37717ec062ac1219611c6d216e7361ab3858009d538fc393bb75caf67ccdc,134001,718,
w0,3,200,35.554,0x0089dc20d34c7dfcc585341dcdd5d067844b66f4d933d0be2a030e7fb88334e2,134001,719,
w0,4,200,40.097,0x694a1ed04524da0e842167694e4da25e518de92d2a05b8a121323159e57e6011,134132,720,
w0,5,200,41.464,0x019a75f7b878a835a245cb138a8696d13aba8f87fd2c79efcbd52775b130e173,134001,721,
w0,6,200,39.936,0x54b87868d4068ded62e448228ccf293abc1200d559fdcd690d779af1422c7dae,134001,722,
w0,7,200,83.465,0xeaf60c3c5c60a567b4650bc92426251fbf8192219e90605ba40ffdce72b086f3,134001,723,
w0,8,200,57.660,0xe6e1be2a895b7f24d45603baf4f111779d9ba194b89a6bfd86ba70e9b96ed997,134132,724,
w0,9,200,132.848,0xe8ad2b63306475ed94b2c5ca60ffc194a9e9e917ff9464fa6af60fc51084fae2,134001,725,
w0,10,200,39.008,0x8bda69d1da1f2de770cbb29695b0bd6a2e7a6c93757d1c2606386fb9f3c3bd2f,134001,726,
w0,11,200,54.899,0x647700bf661d808e94457d0eeae91795c8794d69ba68c42cc5fb08627d0b5df9,134001,727,
w0,12,200,48.518,0x60d060f7e8a006095b4c01d45052948362f286b505260622f62d0f9de0839773,134001,728,
w0,13,200,71.312,0x4b9e8a7db53ef80d44f8b51766882aaef8b4c033971850a5b19de79225bc3d52,134132,729,
w0,14,200,93.426,0x42b35ac53437c8b2d34eaddb309306a313bc88d9f51c3fbc9c62d25bb8501759,134001,730,
w0,15,200,41.535,0x347843d3f2aea03bb19f78b2a9555580dc59a925ea9a721ae5642915c98f80d3,134001,731,
w0,16,200,46.079,0x14ceec0768f27c332a6be1b711bf4500275115c5731ba1a03043bf1f1832c3ac,134001,732,
w0,17,200,39.546,0xc088fc9a7878771372af706ab982fcc4dee1e734770b2c1afd75f2d44318f27a,134001,733,
w0,18,200,48.257,0xad481890c33d92b604a5138b0ed66a2cb5ecaf15270114e514c421d77218a13b,134001,734,
w0,19,200,37.728,0x1712c71d8f68183c6d8a72ac9a56d353bb4bb65a8c4f54b4d316592b945fb6d5,134001,735,
w0,20,200,35.865,0xc13034ed142790db36bb9a0341a01c581e615589d9cb3c5d18d216d32e56fe1b,134001,736,
