worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w2,2025-12-19T15:11:04.711694Z,163.453,200,True,0x07DA3024980d3B92Bcf6B8850A7C08F758B5F781,INSURER,519,MEDICAL_REPORT,5,READ,
w6,2025-12-19T15:11:04.711973Z,163.855,200,True,0x598405697b464FEbA8C76367b7C75C59D8BE2eCF,COURT,190,VIDEO,2,READ,
w3,2025-12-19T15:11:04.711786Z,164.358,403,False,0x01891323537Ca8c745Cd76182c9eB81519eaC821,GARAGE,848,TELEMATICS,3,READ,
w1,2025-12-19T15:11:04.711458Z,164.932,200,True,0xFeC4882fEAf263ac0fD1b9B4271dD1852B413584,INSURER,310,IMAGE,2,READ,
w7,2025-12-19T15:11:04.712188Z,164.534,200,True,0x33F5a90B9400A21046089Aaf44319BA889B0B9ed,INSURER,923,OTHER,1,READ,
w4,2025-12-19T15:11:04.711857Z,165.250,200,True,0xB8954C40b419Ae7332fF39Ce3d458ba1fed03941,REGULATOR,93,VIDEO,2,READ,
w8,2025-12-19T15:11:04.712243Z,165.092,200,True,0x51a1E6D900E3e04c169Be84b2D5e5ccB2420B0EB,INSURER,167,VIDEO,2,READ,
w5,2025-12-19T15:11:04.711923Z,165.618,403,False,0x2B5dEec5325fd9befC139A2071d830B25FAd52Ef,GARAGE,571,FNOL,4,READ,
w0,2025-12-19T15:11:04.708788Z,168.977,200,True,0xC753D2a5211C57F7C2b4279053b11aEC435b41AB,REGULATOR,173,VIDEO,2,READ,
w9,2025-12-19T15:11:04.712280Z,165.690,200,True,0x467316319C6B5f391c5a6B3b0190d4209202fC25,ADJUSTER,706,TELEMATICS,3,READ,
w2,2025-12-19T15:11:04.875173Z,140.561,403,False,0x415Ba7B0D983442D5407ABEF5Ebd8e9d2bB533B7,POLICE,756,TELEMATICS,3,READ,
w6,2025-12-19T15:11:04.875844Z,140.313,200,True,0xBdfeA99CC2B9e09E4A7e6C7B14808189488E3985,COURT,868,OTHER,1,READ,
w3,2025-12-19T15:11:04.876155Z,140.222,403,False,0x090F26617cAab81C15934159343Ff688fAf23820,POLICE,830,TELEMATICS,3,READ,
w1,2025-12-19T15:11:04.876399Z,140.267,403,False,0x38C88185b74B534134345be38916483044075686,POLICE,872,OTHER,1,READ,
w7,2025-12-19T15:11:04.876731Z,140.274,200,True,0xeD60C4758Fab078c38685EeEF9692D8Fa4F3dDB9,INSURER,394,IMAGE,2,READ,
w4,2025-12-19T15:11:04.877117Z,140.100,200,True,0x3a74Fec63a615BC94b9A47bEa6340935Ab155117,ADJUSTER,439,IMAGE,2,READ,
w8,2025-12-19T15:11:04.877342Z,140.094,200,True,0xfd4Fc17438169bC1228EB21c2cb9b8DE1E97472a,INSURER,959,OTHER,1,READ,
w5,2025-12-19T15:11:04.877550Z,140.192,200,True,0x014E540c98B93f6ce2a6F2D7FE66BeD9a19f7bEC,ADJUSTER,835,TELEMATICS,3,READ,
w0,2025-12-19T15:11:04.877775Z,140.186,200,True,0x469Bf06C8a44e5E2Bb2752C29B92d88DCA076B8a,POLICE,439,IMAGE,2,READ,
w9,2025-12-19T15:11:04.877979Z,140.250,200,True,0x48c487f18ce4aAFcf592B2eC3611eAa7B1C85918,ADJUSTER,117,VIDEO,2,READ,
w6,2025-12-19T15:11:05.016166Z,152.014,200,True,0xE1C502975CC15E22bC10c8a6e352061ef61bBc2A,COURT,956,OTHER,1,READ,
w3,2025-12-19T15:11:05.016388Z,152.322,200,True,0x014E540c98B93f6ce2a6F2D7FE66BeD9a19f7bEC,ADJUSTER,712,TELEMATICS,3,READ,
w1,2025-12-19T15:11:05.016674Z,152.322,403,False,0x57e02f30Dd15545B3A9eC4841D0D58Ee1D829414,GARAGE,607,FNOL,4,READ,
w7,2025-12-19T15:11:05.017014Z,152.241,200,True,0x11F50254a88A6e26E6Bb5aAE8d74E52372B4270E,COURT,359,IMAGE,2,READ,
w4,2025-12-19T15:11:05.017225Z,152.415,200,True,0x5e3B546a11dc657CdFa106cd26E2211ee451c0d7,INSURER,4,VIDEO,2,READ,
w8,2025-12-19T15:11:05.017445Z,152.434,200,True,0x0479AcE8E12E22b9751dF7542dd8f225c221EC34,ADJUSTER,113,VIDEO,2,READ,
w5,2025-12-19T15:11:05.017750Z,152.349,200,True,0x3E93709810FB754ab4D6A2487344dF504087996D,INSURER,872,OTHER,1,READ,
w0,2025-12-19T15:11:05.017969Z,152.449,200,True,0x81daFDe6F70ee2Fb93671DC220cC29F8205ACB57,INSURER,460,IMAGE,2,READ,
w9,2025-12-19T15:11:05.018237Z,152.475,200,True,0x5ee06906aF52aEd2c884D505d3a0A7CA7513188D,INSURER,288,IMAGE,2,READ,
w2,2025-12-19T15:11:05.015746Z,155.150,200,True,0x98eAB44F56Ae1f00C301517F1B6fCDb7a452D64b,ADJUSTER,224,VIDEO,2,READ,
w6,2025-12-19T15:11:05.168196Z,139.621,200,True,0x8Dd96368f7a8216813107Fe89688AcaafE8Cb76D,INSURER,710,TELEMATICS,3,READ,
w3,2025-12-19T15:11:05.168723Z,139.711,200,True,0x892Bc4E7F6D9a6aD507664d8A8EEB33b2544f3Ea,COURT,861,OTHER,1,READ,
w1,2025-12-19T15:11:05.169006Z,139.693,200,True,0x811FdDFb3340F34AB2b91C97AcB5FAeB6405847E,REGULATOR,799,TELEMATICS,3,READ,
w7,2025-12-19T15:11:05.169263Z,139.663,200,True,0xD21eB53384cE472F3DE7527DC9A5820dA80bBB01,INSURER,600,MEDICAL_REPORT,5,READ,
w4,2025-12-19T15:11:05.169651Z,139.576,200,True,0x29Da547ffD477d0d4628d547368EcFDF73054469,ADJUSTER,710,TELEMATICS,3,READ,
