worker,index,start_time_iso,latency_ms,status,tx_hash,gas_used,block_number,error
w0,0,2025-12-19T15:11:41.392325Z,7.874,404,,,,"Unexpected status 404, body={}"
w0,1,2025-12-19T15:11:41.400255Z,0.518,404,,,,"Unexpected status 404, body={}"
w0,2,2025-12-19T15:11:41.400807Z,0.311,404,,,,"Unexpected status 404, body={}"
w0,3,2025-12-19T15:11:41.401145Z,0.312,404,,,,"Unexpected status 404, body={}"
w0,4,2025-12-19T15:11:41.401481Z,0.277,404,,,,"Unexpected status 404, body={}"
w0,5,2025-12-19T15:11:41.401788Z,0.278,404,,,,"Unexpected status 404, body={}"
w0,6,2025-12-19T15:11:41.402089Z,0.231,404,,,,"Unexpected status 404, body={}"
w0,7,2025-12-19T15:11:41.402339Z,0.208,404,,,,"Unexpected status 404, body={}"
w0,8,2025-12-19T15:11:41.402566Z,0.262,404,,,,"Unexpected status 404, body={}"
w0,9,2025-12-19T15:11:41.402856Z,0.363,404,,,,"Unexpected status 404, body={}"
