worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w2,2025-12-19T15:11:16.139652Z,179.366,200,True,0xa96C0E04f38F8dC8842789660AA8C570bfCCFF50,GARAGE,473,IMAGE,2,READ,
w6,2025-12-19T15:11:16.139817Z,179.591,200,True,0x3d68C58ebB81123d1Ac10655857193A1cDee90CE,INSURER,986,OTHER,1,READ,
w3,2025-12-19T15:11:16.139706Z,179.926,200,True,0x4f464925226709cf94C01633A1f468E106AD6413,INSURER,965,OTHER,1,READ,
w1,2025-12-19T15:11:16.139524Z,180.801,200,True,0x14d0cb07D407E25F725b7f9854B98fEEEBb4942F,INSURER,96,VIDEO,2,READ,
w7,2025-12-19T15:11:16.140014Z,180.803,200,True,0x51a1E6D900E3e04c169Be84b2D5e5ccB2420B0EB,INSURER,843,TELEMATICS,3,READ,
w4,2025-12-19T15:11:16.139745Z,181.410,200,True,0x466ec685AE894BAc153c11350FC488cAAa2C062E,INSURER,478,IMAGE,2,READ,
w8,2025-12-19T15:11:16.140068Z,181.288,200,True,0x6032b722b48DC8717A2C437485f2D3d264BD803B,ADJUSTER,358,IMAGE,2,READ,
w5,2025-12-19T15:11:16.139782Z,181.959,200,True,0x456F6DbE8aF9e05a1918B64f0Bd0690809b23E6B,INSURER,355,IMAGE,2,READ,
w0,2025-12-19T15:11:16.137327Z,184.828,200,True,0x1F022FfD0700E02E8f01B8f05f539f8C7a0339bb,POLICE,216,VIDEO,2,READ,
w9,2025-12-19T15:11:16.140108Z,182.410,403,False,0x28365792Da71bc8AcAD11a4393049d006EF2E972,GARAGE,141,VIDEO,2,READ,
w2,2025-12-19T15:11:16.319036Z,138.712,200,True,0x811FdDFb3340F34AB2b91C97AcB5FAeB6405847E,REGULATOR,364,IMAGE,2,READ,
w6,2025-12-19T15:11:16.319418Z,138.755,403,False,0xCe3b338346378767324b87Cb888eC3F1d6d34940,POLICE,846,TELEMATICS,3,READ,
w3,2025-12-19T15:11:16.319639Z,138.941,200,True,0x466ec685AE894BAc153c11350FC488cAAa2C062E,INSURER,693,FNOL,4,READ,
w1,2025-12-19T15:11:16.320343Z,138.439,403,False,0x48f8656e15a2FC22Ccd6cDe7c56db39C1B62E770,POLICE,552,MEDICAL_REPORT,5,READ,
w7,2025-12-19T15:11:16.320832Z,138.144,200,True,0x3d4Bd094c1894ed38F3EcF0799bE66f83a4199ca,ADJUSTER,233,VIDEO,2,READ,
w4,2025-12-19T15:11:16.321161Z,138.017,200,True,0x0172115667882E73749128243A943873087c09D3,INSURER,597,FNOL,4,READ,
w8,2025-12-19T15:11:16.321368Z,138.196,200,True,0x14d0cb07D407E25F725b7f9854B98fEEEBb4942F,INSURER,748,TELEMATICS,3,READ,
w5,2025-12-19T15:11:16.321756Z,138.028,200,True,0x2875Aa8C20c095495Ab5d6A1aBE2E2b07077dF55,INSURER,992,OTHER,1,READ,
w0,2025-12-19T15:11:16.322171Z,137.837,200,True,0x685A29EE8A06E458E58A29d721dFB677cdF8a600,INSURER,210,VIDEO,2,READ,
w9,2025-12-19T15:11:16.322532Z,137.695,200,True,0x07DA3024980d3B92Bcf6B8850A7C08F758B5F781,INSURER,47,VIDEO,2,READ,
w6,2025-12-19T15:11:16.458184Z,133.304,200,True,0xdBf006c9b4fEA25fFA98161abc660B4643109625,ADJUSTER,168,VIDEO,2,READ,
w3,2025-12-19T15:11:16.458590Z,133.202,200,True,0x044bef4Ff250cBBFE36FEfE3b859D78bA04c1223,INSURER,889,OTHER,1,READ,
w1,2025-12-19T15:11:16.458791Z,133.366,200,True,0x0172115667882E73749128243A943873087c09D3,INSURER,967,OTHER,1,READ,
w7,2025-12-19T15:11:16.458984Z,133.397,200,True,0x73E42dF14ff21e7994A37802a292F71830CDA5aF,INSURER,857,OTHER,1,READ,
w4,2025-12-19T15:11:16.459185Z,133.403,200,True,0xD6e58dE85e171C0D6BB42Cf4a85fBa7C55ce5618,INSURER,255,IMAGE,2,READ,
w8,2025-12-19T15:11:16.459573Z,133.208,200,True,0xE1c2102345d7379f4bb3F114e908e9cC9154A335,POLICE,486,IMAGE,2,READ,
w5,2025-12-19T15:11:16.459804Z,133.322,200,True,0xFeC4882fEAf263ac0fD1b9B4271dD1852B413584,INSURER,888,OTHER,1,READ,
w0,2025-12-19T15:11:16.460017Z,133.315,200,True,0xC29Fbef10EC6e6A787036cEA0C9024ce9F435d97,INSURER,387,IMAGE,2,READ,
w9,2025-12-19T15:11:16.460233Z,133.307,200,True,0xd963E5e27CB9872abc2Fbed9107c373Aa59583a4,INSURER,144,VIDEO,2,READ,
w2,2025-12-19T15:11:16.457762Z,135.979,200,True,0x58e8E907e02C35e581Ed3a4e98906344861E7265,INSURER,510,MEDICAL_REPORT,5,READ,
w6,2025-12-19T15:11:16.591500Z,132.791,200,True,0x84FDd0E1F145C20f9451b1eB751c26e76B3232d4,POLICE,106,VIDEO,2,READ,
w3,2025-12-19T15:11:16.591800Z,132.845,200,True,0x2875Aa8C20c095495Ab5d6A1aBE2E2b07077dF55,INSURER,804,TELEMATICS,3,READ,
w1,2025-12-19T15:11:16.592166Z,132.786,200,True,0x415Ba7B0D983442D5407ABEF5Ebd8e9d2bB533B7,POLICE,256,IMAGE,2,READ,
w7,2025-12-19T15:11:16.592389Z,132.741,200,True,0x85C720Ae65eF1706A0cf41695a93A34E189D5Ea0,INSURER,121,VIDEO,2,READ,
