worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w2,2026-03-26T02:26:39.936433Z,136.612,403,False,0x2C633fcDe1FC84a3cab453082dd753A56206d5a5,ADJUSTER,351,IMAGE,2,READ,
w8,2026-03-26T02:26:39.946823Z,126.753,403,False,0xD45c19e5e5E1f56DFD5EF10a0DBdBeE64Bb94C5E,POLICE,767,TELEMATICS,3,READ,
w4,2026-03-26T02:26:39.945883Z,128.021,403,False,0x9e27Ca8f24DA387fa26EB31284B2cee849f4fDb8,INSURER,485,IMAGE,2,READ,
w9,2026-03-26T02:26:39.947031Z,132.757,403,False,0xF92d6f9F9322A08d7548d2be3FFFfa7E9307bfF7,POLICE,327,IMAGE,2,READ,
w3,2026-03-26T02:26:39.945702Z,134.717,403,False,0x5d3d41FA5c381DAE4B6Bcdfd09862684aA5Ce3fd,ADJUSTER,479,IMAGE,2,READ,
w0,2026-03-26T02:26:39.933100Z,148.047,403,False,0x969F5C531FA570b10b873CE229E1D17C35c80b01,POLICE,916,OTHER,1,READ,
w1,2026-03-26T02:26:39.936098Z,254.663,200,True,0x6aFB84B7d3D55C3019fC8120397eabD8507b6877,GARAGE,107,VIDEO,2,READ,
w7,2026-03-26T02:26:39.946377Z,245.064,200,True,0xA903578836c1E60A93BAd29357D9962aBd7aE0E7,GARAGE,109,VIDEO,2,READ,
w5,2026-03-26T02:26:39.946027Z,245.788,200,True,0x6e492Bff2B5Fc2351eF247518a6dCD98479E018C,POLICE,243,VIDEO,2,READ,
w6,2026-03-26T02:26:39.946171Z,246.453,200,True,0xEE47aAeC1ae1eFc7AcE9A2bAB0F5c89c97613D42,POLICE,2,VIDEO,2,READ,
w9,2026-03-26T02:26:40.079811Z,113.374,403,False,0x7e44eb68D57cA35191576B6498CAC17b47001a2b,INSURER,412,IMAGE,2,READ,
w3,2026-03-26T02:26:40.080449Z,113.247,403,False,0x0faad82B330120b20f18ed21fCD7C5e6865C2088,INSURER,874,OTHER,1,READ,
w0,2026-03-26T02:26:40.081169Z,123.857,403,False,0x8d409457EE624A6a1Afb1B789793990026056d7d,REGULATOR,763,TELEMATICS,3,READ,
w2,2026-03-26T02:26:40.073067Z,249.444,200,True,0x2eda3233Edca92d3CC82824DE958CC1cCE3A80f4,POLICE,152,VIDEO,2,READ,
w8,2026-03-26T02:26:40.073592Z,249.762,200,True,0x49825196030134F6349A45D6c576684792207592,INSURER,245,VIDEO,2,READ,
w4,2026-03-26T02:26:40.073918Z,250.084,200,True,0xe29a4A0F7cc642F4654E70D8217eDDD2237e5b7f,ADJUSTER,1,VIDEO,2,READ,
w1,2026-03-26T02:26:40.190790Z,133.813,403,False,0xa09383266c25808Ea3362D5DaE160528bB5Fb130,POLICE,513,FNOL,4,READ,
w7,2026-03-26T02:26:40.191458Z,133.782,403,False,0x5a73100273e2F91b8379DcaEe7505e5294ECd09E,INSURER,764,TELEMATICS,3,READ,
w6,2026-03-26T02:26:40.192645Z,133.102,403,False,0x3Ce62c75582d14D54A1532D0Fd3fcA709D3AB012,ADJUSTER,586,FNOL,4,READ,
w3,2026-03-26T02:26:40.193718Z,132.563,403,False,0x5c07a06B115c15b04B988EA559f2FC152b87BE65,INSURER,381,IMAGE,2,READ,
w0,2026-03-26T02:26:40.205072Z,152.604,403,False,0xe68Cd859c32799e54800ffa5C5474912A5C23706,INSURER,372,IMAGE,2,READ,
w5,2026-03-26T02:26:40.191830Z,222.148,200,True,0xAd32d7cB99dFce02DE8A0033cC5fea1262c9840C,INSURER,242,VIDEO,2,READ,
w9,2026-03-26T02:26:40.193206Z,221.442,200,True,0xcB1049e81CC805FeD8B469418aAd2A2A5fCc652A,INSURER,69,VIDEO,2,READ,
w8,2026-03-26T02:26:40.323389Z,91.897,403,False,0x57D7Dac174cE9ce2c07ADDE286cBfDe51cC50122,INSURER,433,IMAGE,2,READ,
w1,2026-03-26T02:26:40.324634Z,91.266,403,False,0x763BeD60093Bc3ad989d0E71724B8a30f6629Bf2,ADJUSTER,539,MEDICAL_REPORT,5,READ,
w3,2026-03-26T02:26:40.326305Z,155.826,403,False,0x6aFB84B7d3D55C3019fC8120397eabD8507b6877,GARAGE,737,TELEMATICS,3,READ,
w2,2026-03-26T02:26:40.322534Z,211.442,200,True,0x85f013a2fE4D618643C6918f0dA731aA62b93420,GARAGE,209,VIDEO,2,READ,
w4,2026-03-26T02:26:40.324022Z,210.547,200,True,0x59e91027b0aBD6B839408f96360A4ca0Dc596a98,ADJUSTER,4,VIDEO,2,READ,
w8,2026-03-26T02:26:40.415309Z,119.854,403,False,0x6e492Bff2B5Fc2351eF247518a6dCD98479E018C,POLICE,409,IMAGE,2,READ,
w1,2026-03-26T02:26:40.415946Z,119.636,403,False,0xE2694287D484e8aE315B0F637DD87846ff5d7AdB,COURT,647,MEDICAL_REPORT,5,READ,
w7,2026-03-26T02:26:40.325267Z,298.761,200,True,0x69b1a8FA8C91e049e9d19bE94bef38769ec28c9D,INSURER,177,VIDEO,2,READ,
w6,2026-03-26T02:26:40.325769Z,298.913,200,True,0x0B5dF81DC06Bb007c88E04eD2D6826Ca41cBB0A2,GARAGE,80,VIDEO,2,READ,
w0,2026-03-26T02:26:40.357699Z,278.089,200,True,0x727e45e23f8594c57Cf3FE94b94fC6DC8eBD7A92,INSURER,55,VIDEO,2,READ,
w3,2026-03-26T02:26:40.482177Z,154.188,403,False,0x0a32D28155a778b375C162F8999D8D0d760896b8,ADJUSTER,889,OTHER,1,READ,
w5,2026-03-26T02:26:40.414000Z,273.244,200,True,0xe29a4A0F7cc642F4654E70D8217eDDD2237e5b7f,ADJUSTER,204,VIDEO,2,READ,
w9,2026-03-26T02:26:40.414696Z,280.869,200,True,0xcB1049e81CC805FeD8B469418aAd2A2A5fCc652A,INSURER,131,VIDEO,2,READ,
w2,2026-03-26T02:26:40.533999Z,162.394,403,False,0x074bE6382e1bAD6f8957dEED880345Efc1bDC58C,POLICE,983,OTHER,1,READ,
w4,2026-03-26T02:26:40.534590Z,168.408,403,False,0x98347d3bFE3F67dc6ee387CF9C8DE40578347681,ADJUSTER,690,MEDICAL_REPORT,5,READ,
w8,2026-03-26T02:26:40.535183Z,169.027,403,False,0xA92D4979eB98ad7361AD95Ad1182a54449C093eB,INSURER,707,TELEMATICS,3,READ,
w1,2026-03-26T02:26:40.535599Z,169.093,403,False,0x26Ab584De439e6A70824Fd85dFdc1587DF5D1516,INSURER,752,TELEMATICS,3,READ,
w7,2026-03-26T02:26:40.624052Z,96.517,403,False,0x5dBb83D0d96c168133412CC6e93a25a61Bfb8599,INSURER,776,TELEMATICS,3,READ,
w6,2026-03-26T02:26:40.624708Z,96.558,403,False,0x4a28FD82865D1625ce719BbE1501981DBEb8775F,ADJUSTER,320,IMAGE,2,READ,
w3,2026-03-26T02:26:40.636392Z,85.393,403,False,0x727e45e23f8594c57Cf3FE94b94fC6DC8eBD7A92,INSURER,329,IMAGE,2,READ,
w5,2026-03-26T02:26:40.687270Z,131.158,403,False,0x005fc769438eD21e72915650ea3d0Bd0779E1d56,ADJUSTER,687,MEDICAL_REPORT,5,READ,
w9,2026-03-26T02:26:40.695589Z,123.317,403,False,0xfaB598AD02177fA240d67eae46e2BBf26ba64810,ADJUSTER,859,OTHER,1,READ,
w2,2026-03-26T02:26:40.696416Z,123.049,403,False,0x727e45e23f8594c57Cf3FE94b94fC6DC8eBD7A92,INSURER,303,IMAGE,2,READ,
w8,2026-03-26T02:26:40.704231Z,115.798,403,False,0x89536950F14FD6E0f52C88C17D5A8d27A19f7635,INSURER,426,IMAGE,2,READ,
w0,2026-03-26T02:26:40.635830Z,260.569,200,True,0x23E9FBB7579C74D955604A707C648CA3Db02A0c7,ADJUSTER,7,VIDEO,2,READ,
w7,2026-03-26T02:26:40.720592Z,176.296,403,False,0x265D84A4A56a37ae42bD3AE43A135660D59CE429,COURT,405,IMAGE,2,READ,
w6,2026-03-26T02:26:40.721288Z,175.959,403,False,0xAc46c6cb0d1d810573C55BcB67a854a313D89d5E,POLICE,755,TELEMATICS,3,READ,
w3,2026-03-26T02:26:40.721823Z,186.745,403,False,0x5d47D10E5aaDa092c97f77a2011d225a54e888dE,INSURER,568,MEDICAL_REPORT,5,READ,
w4,2026-03-26T02:26:40.703021Z,243.551,200,True,0x2E3648461e7e88D00d60a2f635D34041487Ae4B0,COURT,186,VIDEO,2,READ,
w5,2026-03-26T02:26:40.818457Z,128.759,403,False,0x3Ce62c75582d14D54A1532D0Fd3fcA709D3AB012,ADJUSTER,411,IMAGE,2,READ,
w9,2026-03-26T02:26:40.818924Z,128.763,403,False,0x33733bc2AFfA696339eACE63a29db0850Bae08C6,COURT,506,FNOL,4,READ,
w2,2026-03-26T02:26:40.819486Z,128.787,403,False,0xD1ff571869D0436cC7b43A2a2c156085F4c5Efeb,ADJUSTER,915,OTHER,1,READ,
w8,2026-03-26T02:26:40.820048Z,128.803,403,False,0x81946b335d2Cf70a427E23b92bCcC1ACcDDB118A,INSURER,569,MEDICAL_REPORT,5,READ,
w1,2026-03-26T02:26:40.704710Z,312.625,200,True,0xA0706EA97613c48c8Ee8A39218259d61Ae5A25c1,INSURER,31,VIDEO,2,READ,
w0,2026-03-26T02:26:40.896419Z,121.484,403,False,0x3439804Aa24202062144D2208cAD3E29C04d6CfC,POLICE,781,TELEMATICS,3,READ,
w7,2026-03-26T02:26:40.896903Z,121.440,403,False,0xaFc74D5a37Fc772BA03f377804Ff23eE80c3F0B6,GARAGE,899,OTHER,1,READ,
w6,2026-03-26T02:26:40.897265Z,121.579,403,False,0x61315e13CF193804B6c866AeC0205078E4C25a12,COURT,683,FNOL,4,READ,
w3,2026-03-26T02:26:40.908590Z,110.803,403,False,0x7693A9f87027932864A045F6Ed756AA65fdeEc1c,INSURER,875,OTHER,1,READ,
w4,2026-03-26T02:26:40.946594Z,179.543,403,False,0x2FFDEE64f54829571565E7991764e0c0B2D31B16,INSURER,471,IMAGE,2,READ,
