worker,index,start_time_iso,latency_ms,status,tx_hash,gas_used,block_number,error
w0,0,2025-11-26T13:47:40.256936Z,161.694,200,0xf9ddc6d3f82915bb9e3decd2531c7b5d3b9296325ae20e6a7e577ea58cc0d89e,134144,1214,
w0,1,2025-11-26T13:47:40.418721Z,144.327,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204bd843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000692704fc00000000000000000000000000000000000000000000000000000000694e91fc0000000000000000000000000000000000000000000000000000000000000001c080a095185e2e112d93b8363da117b1135a758cf4fe40237ebe211c1b7320b6028b32a0016703c6c1fbd71b2b668c53321fc2b6ad781469d031d5b075cdde547f3cee69"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1214 but got 1213. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1214 but got 1213. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,2,2025-11-26T13:47:40.563123Z,165.348,200,0x2581c975f7b131bc2c26b1c4740f81a07165c091ebbe5dd407fee81f108da818,134132,1215,
w0,3,2025-11-26T13:47:40.728523Z,79.706,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204be843b9aca00843b9aca1083020b71949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c001a072ff6f7b7a71b16ab7e3a938357020cbbaa6aef1ab4d45d43c44dbf7617e9ec6a020b5f4095fc30034e2ded0c98e6497feac0e6fd715f89a7034db24992b716c9d"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1215 but got 1214. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1215 but got 1214. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,4,2025-11-26T13:47:40.808293Z,78.072,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204be843b9aca00843b9aca108301bda9949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c001a0ef256f1aa32227cd019aa6470734afe05d9bbbc88c69ade76c7781538842d300a0674cb8e169afa00583746b14f931cb7cae53163c030515e20a10832c5354f6ea"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1215 but got 1214. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1215 but got 1214. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,5,2025-11-26T13:47:40.886428Z,122.990,200,0x5c549aa964423f2c015eb4a0e70136b83095db39ad2e860831b65c7ebd5b480d,134144,1216,
w0,6,2025-11-26T13:47:41.009488Z,92.595,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204bf843b9aca00843b9aca108301be38949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000692704fd00000000000000000000000000000000000000000000000000000000694e91fd0000000000000000000000000000000000000000000000000000000000000001c080a0bbaef5e66f3ce3344feaeb7f949115c27031d84aafa9cb398f34023230d0bb7aa046a6f8d8542cd72d31ded8eff088fbe5a3b88e32d1b3ee101c180eb348ad7e3b"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1216 but got 1215. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1216 but got 1215. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,7,2025-11-26T13:47:41.102159Z,77.573,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204bf843b9aca00843b9aca1083020b71949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba0000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c080a0a70980a9df1b4eace6d41dd2c21922361e5da86de97370d1b538841c0625484ba00b2df73680e06508b77dc390af838137ce013963448392bb0aeaf0909ff47146"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1216 but got 1215. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1216 but got 1215. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
w0,8,2025-11-26T13:47:41.179789Z,139.014,200,0x9616fed5a35856a7731194a1964f9a76d762e21f264493867787c5a5f989b228,134144,1217,
w0,9,2025-11-26T13:47:41.318860Z,78.887,500,,,,"Unexpected status 500, body={'error': 'Internal error', 'details': 'nonce has already been used (transaction=""0x02f901b5827a698204c0843b9aca00843b9aca1083020c00949fe46736679d2d9a65f0992f2272de9f3c7fa6e080b9014440d777ba000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000500000000000000000000000000000000000000000000000000000000692704fd00000000000000000000000000000000000000000000000000000000694e91fd0000000000000000000000000000000000000000000000000000000000000001c080a002a1824c4850d40f52379e8555d40ef1a72bada4d68be66d9067009af1863da0a045d1e90201426d3574ac1680156c6991b54062d79e24f016da66da330ab5da2f"", info={ ""error"": { ""code"": -32000, ""data"": { ""message"": ""Nonce too low. Expected nonce to be 1217 but got 1216. Note that transactions can\'t be queued when automining."" }, ""message"": ""Nonce too low. Expected nonce to be 1217 but got 1216. Note that transactions can\'t be queued when automining."" } }, code=NONCE_EXPIRED, version=6.15.0)'}"
