worker,index,start_time_iso,latency_ms,status,tx_hash,gas_used,block_number,error
w0,0,2025-11-27T08:00:01.752921Z,34.198,200,0xba22e470487e509c8b7847eb1f5e3f248dd045cb58d1d4ccef524cdbb7c34bbd,134144,54,
w0,1,2025-11-27T08:00:01.787206Z,15.632,200,0xf4084456f57331265a98eed0002ce10dcbaf37f9a702a750aeea711357575d34,134013,55,
w0,2,2025-11-27T08:00:01.802903Z,15.185,200,0x3a382afd45199a5fdd8e50b9488208d0da70cca58e9614bd210aa6d81a50ae0b,134013,56,
w0,3,2025-11-27T08:00:01.818141Z,15.107,200,0xff7e56e5bbe7427752534d1f0cf51d3dc5eb77543ef89f1bdbcf423efe634ac0,134144,57,
w0,4,2025-11-27T08:00:01.833300Z,13.914,200,0xa5eca47309e9833883fd95a0ff708078453b3dd5670cd67fe78dc861f37a59e8,134144,58,
w0,5,2025-11-27T08:00:01.847267Z,14.476,200,0xd4a6cdcdd40545439d1ec8f2a2879b1beb90890346db4028564f993d681e06f4,134001,59,
w0,6,2025-11-27T08:00:01.861797Z,14.265,200,0x5932ee870e7e5734b673447a58f1e5e95a9eb5a2cc21f7275dbc49c6ae8c62a5,134001,60,
w0,7,2025-11-27T08:00:01.876114Z,15.227,200,0x8ae6d63ea558f59fa41716a679d39fc0ed5e06f7ef2988acb78a497deb5c2f88,114232,61,
w0,8,2025-11-27T08:00:01.891410Z,13.719,200,0x1ba8dbee606bd32021243b4b615242763f6ce17a40e2a5b1bcba9cb17b86a1d1,114089,62,
w0,9,2025-11-27T08:00:01.905180Z,14.117,200,0x10d6b01749a9c4d977327e58fe17a5eec876bd969a0bfadbbbb6b765495ab1fc,134001,63,
