worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w1,2025-12-19T14:43:03.106857Z,13.884,200,True,0x8d0151c4F2bF27afD2201C7C4fE56A90B0DA58Fe,INSURER,261,IMAGE,2,READ,
w5,2025-12-19T14:43:03.107118Z,14.377,200,True,0x5cB8e3e86426cca28B81a1F506b0c918fa230526,INSURER,129,VIDEO,2,READ,
w3,2025-12-19T14:43:03.107038Z,14.903,200,True,0x8d0151c4F2bF27afD2201C7C4fE56A90B0DA58Fe,INSURER,853,OTHER,1,READ,
w9,2025-12-19T14:43:03.107498Z,14.938,200,True,0x45027EB686032B693Ea79a63545D177B238bc218,INSURER,782,TELEMATICS,3,READ,
w6,2025-12-19T14:43:03.107153Z,15.779,403,False,0xA88F90716eDCDc5BFa0993c4c7FA41f629e44d8c,GARAGE,940,OTHER,1,READ,
w2,2025-12-19T14:43:03.106982Z,16.390,200,True,0x592bB49f1f64a954F181cc99489664AeC05bB383,COURT,113,VIDEO,2,READ,
w7,2025-12-19T14:43:03.107391Z,16.371,200,True,0xE4B15B33FdBE23647b0F6070414150D566e1F62f,INSURER,527,FNOL,4,READ,
w4,2025-12-19T14:43:03.107078Z,17.090,200,True,0xf1E534De0C06d61147F8A18Fd769352969fDCF3B,INSURER,740,TELEMATICS,3,READ,
w8,2025-12-19T14:43:03.107456Z,17.294,200,True,0x8e698D53B82C116210BD73e1cA88584086b03795,POLICE,71,VIDEO,2,READ,
w0,2025-12-19T14:43:03.104037Z,21.100,200,True,0x8C0A9562bA06c26cD697012F2C311Ab93431CB08,INSURER,920,OTHER,1,READ,
w1,2025-12-19T14:43:03.120767Z,4.724,200,True,0xf306C99564607882567c83a33f4e5EEEb8bF050e,ADJUSTER,281,IMAGE,2,READ,
w5,2025-12-19T14:43:03.121507Z,4.729,200,True,0x7d050D9da028bFC0eFF937489B90834dEFC533f3,INSURER,409,IMAGE,2,READ,
w3,2025-12-19T14:43:03.121949Z,4.648,200,True,0x8a68D81A9d3c90fE303344fA200a40Ad65bB9234,ADJUSTER,279,IMAGE,2,READ,
w9,2025-12-19T14:43:03.122442Z,4.485,200,True,0x547633aa452093F2f87ad6cF6Af95cf459e17be5,ADJUSTER,469,IMAGE,2,READ,
w6,2025-12-19T14:43:03.122940Z,4.316,200,True,0xd0eD43b7e3956873eD7AB8414636734c48656D80,ADJUSTER,924,OTHER,1,READ,
w2,2025-12-19T14:43:03.123380Z,4.228,200,True,0x23d961Bbd1C6082e8A752192D3D652cd833EFf20,COURT,909,OTHER,1,READ,
w7,2025-12-19T14:43:03.123770Z,4.140,200,True,0x03E8540790383Dc711c7029C4a4727A3D6F85Ee6,INSURER,531,MEDICAL_REPORT,5,READ,
w4,2025-12-19T14:43:03.124175Z,3.931,200,True,0xb03C6C3a6e66a20729a4d4758D907D3A07cB0af5,INSURER,867,OTHER,1,READ,
w8,2025-12-19T14:43:03.124756Z,3.540,200,True,0x1d1694bc32c0223F44b4aC0956BE792a5996Cb79,INSURER,562,FNOL,4,READ,
w0,2025-12-19T14:43:03.125144Z,3.373,200,True,0xA9da87e421E9bF79a8e80EaD31e737D98aa626eE,INSURER,449,IMAGE,2,READ,
w1,2025-12-19T14:43:03.125497Z,3.228,200,True,0x5cB8e3e86426cca28B81a1F506b0c918fa230526,INSURER,484,IMAGE,2,READ,
w5,2025-12-19T14:43:03.126244Z,2.720,200,True,0x0Adc41557A616569Cd409d74aFe4C9FaD47a57ed,POLICE,71,VIDEO,2,READ,
w3,2025-12-19T14:43:03.126605Z,2.669,200,True,0x8e18b3Dc00a5886aeb63bE8dFcd734BAda06Bf8a,REGULATOR,227,VIDEO,2,READ,
w9,2025-12-19T14:43:03.126935Z,2.516,200,True,0x3dc584940370d31418aBbfB6F809C055E9bBC98f,COURT,380,IMAGE,2,READ,
w6,2025-12-19T14:43:03.127264Z,2.379,200,True,0x1d1694bc32c0223F44b4aC0956BE792a5996Cb79,INSURER,64,VIDEO,2,READ,
w2,2025-12-19T14:43:03.127616Z,2.227,200,True,0xe68d19e611fc7Cd8D9184Dbf3034203A5B0ba7E9,INSURER,629,FNOL,4,READ,
w7,2025-12-19T14:43:03.127916Z,2.130,200,True,0x986fDE3291033E80049183d4eAac7752F29166cC,INSURER,562,FNOL,4,READ,
w4,2025-12-19T14:43:03.128114Z,2.126,200,True,0xA9da87e421E9bF79a8e80EaD31e737D98aa626eE,INSURER,65,VIDEO,2,READ,
w8,2025-12-19T14:43:03.128301Z,2.286,200,True,0xD89D70fF36c803e47f1df2Ffaab469107117214F,ADJUSTER,796,TELEMATICS,3,READ,
w0,2025-12-19T14:43:03.128523Z,2.378,200,True,0x9D27B273CA2f10A2b874e5280Aa7A5081BdC694C,INSURER,757,TELEMATICS,3,READ,
w1,2025-12-19T14:43:03.128731Z,2.368,200,True,0x766C26A7aD924449Bec43A8A34DEF94ddE4249e8,COURT,720,TELEMATICS,3,READ,
w5,2025-12-19T14:43:03.128969Z,2.449,200,True,0xECB4fA8D986702c344aB4Aacfa51CfeD104110bA,ADJUSTER,712,TELEMATICS,3,READ,
