worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w31,2025-12-19T14:43:04.755786Z,17.587,200,True,0x986fDE3291033E80049183d4eAac7752F29166cC,INSURER,50,VIDEO,2,READ,
w19,2025-12-19T14:43:04.755421Z,18.207,200,True,0x6C9757f257381323C7E688e7935C2755df2DdaF3,INSURER,782,TELEMATICS,3,READ,
w5,2025-12-19T14:43:04.754958Z,18.836,200,True,0x5Adf6dA1124Cb04f8e27b4b197b6521C42AD0641,INSURER,862,OTHER,1,READ,
w45,2025-12-19T14:43:04.756297Z,17.638,200,True,0xc3c51312907D83df323e05D7E254352175252368,COURT,827,TELEMATICS,3,READ,
w3,2025-12-19T14:43:04.754869Z,19.196,200,True,0x986fDE3291033E80049183d4eAac7752F29166cC,INSURER,878,OTHER,1,READ,
w32,2025-12-19T14:43:04.755817Z,18.359,200,True,0xeE7a8fa9C275631851e5D7dc28236a336206c473,COURT,482,IMAGE,2,READ,
w20,2025-12-19T14:43:04.755452Z,18.831,200,True,0xb03C6C3a6e66a20729a4d4758D907D3A07cB0af5,INSURER,885,OTHER,1,READ,
w6,2025-12-19T14:43:04.754998Z,19.412,200,True,0xD2e4187ae13875E61F4ADeB0bc309Fda9E672655,INSURER,350,IMAGE,2,READ,
w46,2025-12-19T14:43:04.756326Z,18.197,200,True,0xB681a7921F6B4dE01c32e0986627275Edcd5e568,INSURER,937,OTHER,1,READ,
w33,2025-12-19T14:43:04.755844Z,18.792,200,True,0xe2B8d1C6c9c24880899f9658aB855CaA7c476FA1,POLICE,179,VIDEO,2,READ,
w7,2025-12-19T14:43:04.755032Z,19.706,200,True,0xD46554Edf6329a0a8caae2A79EB7098A7a24Ba81,INSURER,592,MEDICAL_REPORT,5,READ,
w47,2025-12-19T14:43:04.756355Z,18.482,403,False,0x94aC64f763ca7BcC8957cb2CBAfF108a9d91ADc1,POLICE,708,TELEMATICS,3,READ,
w34,2025-12-19T14:43:04.755871Z,19.063,200,True,0x4D2e324068BA02Eb613f39F882B7ED435DaAe089,INSURER,348,IMAGE,2,READ,
