worker,start_time_iso,latency_ms,status,allowed,subject_address,subject_role,resource_id,resource_type,resource_sensitivity,action,error
w43,2025-11-27T08:00:00.590826Z,124.569,403,False,0xB681a7921F6B4dE01c32e0986627275Edcd5e568,INSURER,386,IMAGE,2,READ,
w44,2025-11-27T08:00:00.590874Z,125.024,403,False,0x00a777ADb6935EdBdF8a8529125d1fbd93EdBA56,INSURER,403,IMAGE,2,READ,
w45,2025-11-27T08:00:00.590918Z,125.165,403,False,0xd3ad26904604cf4A6e4Ef026c902c9f70562F892,INSURER,285,IMAGE,2,READ,
w3,2025-11-27T08:00:00.588653Z,127.567,403,False,0x8Dd8Ebe34924EFE25Fc2D7A18d687C6e9a775529,REGULATOR,61,VIDEO,2,READ,
w46,2025-11-27T08:00:00.590963Z,125.377,403,False,0xb0276419CD1DA3AF0406c1b6D9D2302B8CDAc670,POLICE,435,IMAGE,2,READ,
w47,2025-11-27T08:00:00.591006Z,125.443,403,False,0x2Fd075dD3CC039D228Ac107272729a1129782C59,GARAGE,496,IMAGE,2,READ,
w48,2025-11-27T08:00:00.591065Z,125.483,403,False,0x8419AD6d02e583D482E66F544e7fCc8a4078cE52,INSURER,119,VIDEO,2,READ,
w49,2025-11-27T08:00:00.591271Z,126.012,403,False,0xD91E6fbf8C6C9F06DA14fCEc6BB1f34719Cb6AfF,INSURER,243,VIDEO,2,READ,
w50,2025-11-27T08:00:00.591330Z,126.109,403,False,0x342E14b11b9f83662a05FF03e2f43C71f9Bf4873,REGULATOR,10,VIDEO,2,READ,
w51,2025-11-27T08:00:00.591368Z,126.195,403,False,0x3CeB0Aa9CCc9c0A29a814fBD5c1aD23dca52aeb6,ADJUSTER,211,VIDEO,2,READ,
w52,2025-11-27T08:00:00.591414Z,126.279,403,False,0x03E8540790383Dc711c7029C4a4727A3D6F85Ee6,INSURER,365,IMAGE,2,READ,
w53,2025-11-27T08:00:00.591448Z,126.351,403,False,0xD91E6fbf8C6C9F06DA14fCEc6BB1f34719Cb6AfF,INSURER,700,MEDICAL_REPORT,5,READ,
w54,2025-11-27T08:00:00.591481Z,126.418,403,False,0x3015CaAdD111E6bb308586Fb390005C8F75848A7,POLICE,924,OTHER,1,READ,
w55,2025-11-27T08:00:00.591514Z,126.481,403,False,0x66dbB00795DC0d781dcA2e6219ab30FcaF5f1CAd,GARAGE,183,VIDEO,2,READ,
w56,2025-11-27T08:00:00.591544Z,126.557,403,False,0x501d27511202E1C0343B6ee79241254B3C3d4378,INSURER,545,FNOL,4,READ,
w57,2025-11-27T08:00:00.591573Z,126.625,403,False,0x8d04Ed80530786073721Ae9c38cD46D45dd71756,INSURER,301,IMAGE,2,READ,
w58,2025-11-27T08:00:00.591611Z,126.680,403,False,0xb4F3640241c9285C3384313c7E76CBB3eded034B,INSURER,380,IMAGE,2,READ,
w4,2025-11-27T08:00:00.588698Z,129.687,403,False,0xD2e4187ae13875E61F4ADeB0bc309Fda9E672655,INSURER,981,OTHER,1,READ,
w59,2025-11-27T08:00:00.591826Z,126.654,403,False,0xcbA3c1E62e024046934d519a26b637Dd0dfD1b3c,REGULATOR,442,IMAGE,2,READ,
w5,2025-11-27T08:00:00.588739Z,129.831,403,False,0x67F4F8CE04FD59Bf243930A77adCf14537A0B5D2,ADJUSTER,405,IMAGE,2,READ,
w60,2025-11-27T08:00:00.591905Z,126.774,403,False,0xe84288AfCCFcafd9a8AB74D8F555C5448a911Eb5,INSURER,561,FNOL,4,READ,
w6,2025-11-27T08:00:00.588773Z,130.009,403,False,0xfc909f67c3BA8552cdb1B0bA216742E485d43BA1,ADJUSTER,515,FNOL,4,READ,
w61,2025-11-27T08:00:00.591952Z,126.931,403,False,0x99a806d3b557c0a8e626Cef888962d06713ad5f6,COURT,777,TELEMATICS,3,READ,
w7,2025-11-27T08:00:00.588806Z,130.170,403,False,0x29Ab7D36C4d714Ab42079831182cFeA1dF363Eae,COURT,384,IMAGE,2,READ,
w62,2025-11-27T08:00:00.591989Z,127.079,403,False,0xD91E6fbf8C6C9F06DA14fCEc6BB1f34719Cb6AfF,INSURER,288,IMAGE,2,READ,
w8,2025-11-27T08:00:00.588837Z,130.325,403,False,0x1F118D13DD44a163CF0Cfe93a2339019D5089D5c,ADJUSTER,583,MEDICAL_REPORT,5,READ,
w63,2025-11-27T08:00:00.592121Z,127.139,403,False,0x1c2b0E2F66517144Cf34cdF840b04E60E4FC213C,INSURER,639,FNOL,4,READ,
w9,2025-11-27T08:00:00.588869Z,130.484,403,False,0xA88F90716eDCDc5BFa0993c4c7FA41f629e44d8c,GARAGE,237,VIDEO,2,READ,
w64,2025-11-27T08:00:00.592152Z,127.294,403,False,0x834FebF68f8d4290AF73435F29e38943Dd993eca,POLICE,861,OTHER,1,READ,
w10,2025-11-27T08:00:00.588899Z,130.638,403,False,0x499B440236db366c87f8267Bd804228e12Df64A4,ADJUSTER,872,OTHER,1,READ,
w65,2025-11-27T08:00:00.592182Z,127.468,403,False,0x2Fd075dD3CC039D228Ac107272729a1129782C59,GARAGE,744,TELEMATICS,3,READ,
w11,2025-11-27T08:00:00.588930Z,130.817,403,False,0xaF805972401628544EBe993aC94305E19571431b,INSURER,587,MEDICAL_REPORT,5,READ,
w66,2025-11-27T08:00:00.592211Z,128.793,403,False,0xD655a56fEE3b3b955dDD12746620A181f93F16e6,POLICE,455,IMAGE,2,READ,
w12,2025-11-27T08:00:00.588962Z,132.208,403,False,0x065803C5af851Dda212c2b93EabB66A8eE0Adb34,INSURER,31,VIDEO,2,READ,
w67,2025-11-27T08:00:00.592240Z,129.059,403,False,0x99a806d3b557c0a8e626Cef888962d06713ad5f6,COURT,190,VIDEO,2,READ,
w13,2025-11-27T08:00:00.588991Z,132.422,403,False,0x9faB46D850015a996dAa8c1858e4cA1262E31bE2,INSURER,636,FNOL,4,READ,
w68,2025-11-27T08:00:00.592270Z,129.248,403,False,0x547633aa452093F2f87ad6cF6Af95cf459e17be5,ADJUSTER,70,VIDEO,2,READ,
w14,2025-11-27T08:00:00.589019Z,132.600,403,False,0x74fB3137dFB3B6448931Fb8Da2496AaF6a238f78,COURT,184,VIDEO,2,READ,
w69,2025-11-27T08:00:00.592298Z,129.435,403,False,0xdC2E4E6D348448D3722b528D8c9272eD5C020F55,POLICE,251,IMAGE,2,READ,
w15,2025-11-27T08:00:00.589046Z,132.787,403,False,0x5B9Fe195263932C148aB2997922dda28a64aD5A9,INSURER,872,OTHER,1,READ,
w70,2025-11-27T08:00:00.592327Z,129.604,403,False,0x4a5907024898DA4eE2BA57e89D767C6406ebD232,INSURER,527,FNOL,4,READ,
w16,2025-11-27T08:00:00.589075Z,132.949,403,False,0x40B970b53BFF9D4A11Fe90cD35998f21368a2830,POLICE,45,VIDEO,2,READ,
w71,2025-11-27T08:00:00.592356Z,129.772,403,False,0x59F93F27b669bD4e2a076c77c1134dc9Bd550AFA,INSURER,439,IMAGE,2,READ,
w17,2025-11-27T08:00:00.589106Z,133.120,403,False,0x1c2b0E2F66517144Cf34cdF840b04E60E4FC213C,INSURER,330,IMAGE,2,READ,
w72,2025-11-27T08:00:00.592385Z,129.933,403,False,0x8e698D53B82C116210BD73e1cA88584086b03795,POLICE,922,OTHER,1,READ,
w18,2025-11-27T08:00:00.589133Z,133.282,403,False,0x555115C078B14a18238D974E5351E87E050EbE47,ADJUSTER,707,TELEMATICS,3,READ,
w73,2025-11-27T08:00:00.592413Z,130.100,403,False,0x0157eAF28226F1508d622a947510555A7D0a565c,INSURER,7,VIDEO,2,READ,
w19,2025-11-27T08:00:00.589162Z,133.445,403,False,0xF173F4d5ADdf0E7a16e318fFd5937Dfb27583015,INSURER,669,FNOL,4,READ,
w74,2025-11-27T08:00:00.592441Z,130.267,403,False,0x50BbaB837D91CF9f3d77c66d83c40d4b389AB0B1,INSURER,396,IMAGE,2,READ,
